id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
697816479765557248	2016-02-11 16:16:28	Transforming lives for children must begin with adult who expose them to adult music #TEDxNations lagosViewingParty @TEDxPdNations	Transforming lives for children must begin with adult who expose them to adult music #TEDxNations lagosViewingParty @TEDxPdNations	Transforming lives for children must begin with adult who expose them to adult music TEDxNations lagosViewingParty TEDxPdNations	transforming lives children must begin adult expose adult music tedxnations lagosviewingparty tedxpdnations	transform live children must begin adult expos adult music tedxnat lagosviewingparti tedxpdnat
697816000742494208	2016-02-11 16:14:34	Success on the development field hinges on local ownership and implementation of policy - Sam Worthington #TEDxNations	Success on the development field hinges on local ownership and implementation of policy - Sam Worthington #TEDxNations	Success on the development field hinges on local ownership and implementation of policy - Sam Worthington TEDxNations	success development field hinges local ownership implementation policy sam worthington tedxnations	success develop field hing local ownership implement polici sam worthington tedxnat
697815851148382208	2016-02-11 16:13:58	Standards are key to ecosystem approach that @e_cousens mentions at #TEDxNations watch party. Listen to @RanyeeCleanCook to learn more.	Standards are key to ecosystem approach that @e_cousens mentions at #TEDxNations watch party. Listen to @RanyeeCleanCook to learn more.	Standards are key to ecosystem approach that e_cousens mentions at TEDxNations watch party. Listen to RanyeeCleanCook to learn more.	standards key ecosystem approach e_cousens mentions tedxnations watch party listen ranyeecleancook learn	standard key ecosystem approach e_cousen mention tedxnat watch parti listen ranyeecleancook learn
697815784144277504	2016-02-11 16:13:42	Retweeted UNIC Lagos (@UNICLagos):Technology is the great tool for development - Beeban #TEDxNations... https://t.co/2qOsv1m66S	Retweeted UNIC Lagos (@UNICLagos):Technology is the great tool for development - Beeban #TEDxNations... 	Retweeted UNIC Lagos (UNICLagos):Technology is the great tool for development - Beeban TEDxNations... 	retweeted unic lagos uniclagos ): technology great tool development beeban tedxnations	retweet unic lago uniclago ): technolog great tool develop beeban tedxnat
697815774757519360	2016-02-11 16:13:40	Every development solution needs a supportive ecosystem, #GlobalGoals are working on that challenge - @e_cousens #TEDxNations	Every development solution needs a supportive ecosystem, #GlobalGoals are working on that challenge - @e_cousens #TEDxNations	Every development solution needs a supportive ecosystem, GlobalGoals are working on that challenge - e_cousens TEDxNations	every development solution needs supportive ecosystem globalgoals working challenge e_cousens tedxnations	everi develop solut need support ecosystem globalgo work challeng e_cousen tedxnat
697815728058208256	2016-02-11 16:13:29	Dr. Regina Ungerer, Developer of the ePORTUGUÊSe Program from WHO is now giving a talk about her experience at swissnex Brazil #TEDxNations	Dr. Regina Ungerer, Developer of the ePORTUGUÊSe Program from WHO is now giving a talk about her experience at swissnex Brazil #TEDxNations	Dr. Regina Ungerer, Developer of the ePORTUGUÊSe Program from WHO is now giving a talk about her experience at swissnex Brazil TEDxNations	dr regina ungerer developer eportugu êse program giving talk experience swissnex brazil tedxnations	dr regina unger develop eportugu êse program give talk experi swissnex brazil tedxnat
697815493051359232	2016-02-11 16:12:32	"""Every solution needs an ecosystem' - @e_cousens Clean cooking sector very clear example. #TEDxNations watch party in DC."	"""Every solution needs an ecosystem' - @e_cousens Clean cooking sector very clear example. #TEDxNations watch party in DC."	"""Every solution needs an ecosystem' - e_cousens Clean cooking sector very clear example. TEDxNations watch party in DC."	every solution needs ecosystem e_cousens clean cooking sector clear example tedxnations watch party dc	everi solut need ecosystem e_cousen clean cook sector clear exampl tedxnat watch parti dc
697815461325578241	2016-02-11 16:12:25	Every solution needs an ecosystem. -@e_cousens #TEDxNations #DC watch party	Every solution needs an ecosystem. -@e_cousens #TEDxNations #DC watch party	Every solution needs an ecosystem. -e_cousens TEDxNations DC watch party	every solution needs ecosystem e_cousens tedxnations dc watch party	everi solut need ecosystem e_cousen tedxnat dc watch parti
697815460239306752	2016-02-11 16:12:25	Issue of lack of access to nutrition, education, reproductive rights, have major effects on women and girls - Sarah Craven #TEDxNations	Issue of lack of access to nutrition, education, reproductive rights, have major effects on women and girls - Sarah Craven #TEDxNations	Issue of lack of access to nutrition, education, reproductive rights, have major effects on women and girls - Sarah Craven TEDxNations	issue lack access nutrition education reproductive rights major effects women girls sarah craven tedxnations	issu lack access nutrit educ reproduct right major effect women girl sarah craven tedxnat
697815367222218752	2016-02-11 16:12:02	Only 17% of girls in sub-Saharan Africa continue on to secondary school. Shocking statistic from audience member at #TEDxNations watch party	Only 17% of girls in sub-Saharan Africa continue on to secondary school. Shocking statistic from audience member at #TEDxNations watch party	Only 17% of girls in sub-Saharan Africa continue on to secondary school. Shocking statistic from audience member at TEDxNations watch party	17 girls sub-saharan africa continue secondary school shocking statistic audience member tedxnations watch party	17 girl sub-saharan africa continu secondari school shock statist audienc member tedxnat watch parti
