id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
714749777532026881	2016-03-29 09:43:21	No words. #EgyptAir	No words. #EgyptAir	No words. EgyptAir	words egyptair	word egyptair
714749777506861062	2016-03-29 09:43:21	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/wVdcMZlFmb via @CNN	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian...  via @CNN	BREAKING: EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian...  via CNN	breaking egyptair hijacker egyptian-american dual citizen named ibrahim samaha egyptian via cnn	break egyptair hijack egyptian-american dual citizen name ibrahim samaha egyptian via cnn
714749777183944705	2016-03-29 09:43:20	EgyptAir plane hijacked to Cyprus, most passengers freed: By Yiannis Kourtoglou LARNACA, Cyprus, March 29 (Reu... https://t.co/1CDtMxSHPu	EgyptAir plane hijacked to Cyprus, most passengers freed: By Yiannis Kourtoglou LARNACA, Cyprus, March 29 (Reu... 	EgyptAir plane hijacked to Cyprus, most passengers freed: By Yiannis Kourtoglou LARNACA, Cyprus, March 29 (Reu... 	egyptair plane hijacked cyprus passengers freed yiannis kourtoglou larnaca cyprus march 29 reu	egyptair plane hijack cyprus passeng freed yianni kourtoglou larnaca cyprus march 29 reu
714749776969990144	2016-03-29 09:43:20	That is also not to ignore the serious issues surrounding mental health and the mental state of this hijacker. #Egyptair	That is also not to ignore the serious issues surrounding mental health and the mental state of this hijacker. #Egyptair	That is also not to ignore the serious issues surrounding mental health and the mental state of this hijacker. Egyptair	also ignore serious issues surrounding mental health mental state hijacker egyptair	also ignor serious issu surround mental health mental state hijack egyptair
714749776064090113	2016-03-29 09:43:20	Updates with @cbsnews on @wwj950 on the EgyptAir plane hijacked, diverted to Cyprus https://t.co/GhZyHZ86dv	Updates with @cbsnews on @wwj950 on the EgyptAir plane hijacked, diverted to Cyprus 	Updates with cbsnews on wwj950 on the EgyptAir plane hijacked, diverted to Cyprus 	updates cbsnews wwj 950 egyptair plane hijacked diverted cyprus	updat cbsnew wwj 950 egyptair plane hijack divert cyprus
714749775095197696	2016-03-29 09:43:20	This coming Valentines Day be like #EgyptAir https://t.co/KA2ombpwY6	This coming Valentines Day be like #EgyptAir 	This coming Valentines Day be like EgyptAir 	coming valentines day like egyptair	come valentin day like egyptair
714749774906441730	2016-03-29 09:43:20	I'm guessing that the hijacker has been frustrated in attempts to gain rightful access to his kids via Cy justice system - not 1st #EgyptAir	I'm guessing that the hijacker has been frustrated in attempts to gain rightful access to his kids via Cy justice system - not 1st #EgyptAir	I'm guessing that the hijacker has been frustrated in attempts to gain rightful access to his kids via Cy justice system - not 1st EgyptAir	i'm guessing hijacker frustrated attempts gain rightful access kids via cy justice system 1st egyptair	i'm guess hijack frustrat attempt gain right access kid via cy justic system 1st egyptair
714749772846989312	2016-03-29 09:43:19	There were times when hijacking the plane was crime not Romance. Good Old Days. #EgyptAir	There were times when hijacking the plane was crime not Romance. Good Old Days. #EgyptAir	There were times when hijacking the plane was crime not Romance. Good Old Days. EgyptAir	times hijacking plane crime romance good old days egyptair	time hijack plane crime romanc good old day egyptair
714749771970396160	2016-03-29 09:43:19	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/qH17cMTVzt via @CNN	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian...  via @CNN	BREAKING: EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian...  via CNN	breaking egyptair hijacker egyptian-american dual citizen named ibrahim samaha egyptian via cnn	break egyptair hijack egyptian-american dual citizen name ibrahim samaha egyptian via cnn
714749771576164352	2016-03-29 09:43:19	#EgyptAir | 'It is not to do with terrorism', says Cypriot president as hijacker 'demands to speak to ex-wife'	#EgyptAir | 'It is not to do with terrorism', says Cypriot president as hijacker 'demands to speak to ex-wife'	EgyptAir | 'It is not to do with terrorism', says Cypriot president as hijacker 'demands to speak to ex-wife'	egyptair terrorism says cypriot president hijacker demands speak ex-wife	egyptair terror say cypriot presid hijack demand speak ex-wif
714749768266858497	2016-03-29 09:43:18	Okay, so there IS a song about love being in the air, but this is really not what it means. #EgyptAir  https://t.co/WVrq2Vr8jV	Okay, so there IS a song about love being in the air, but this is really not what it means. #EgyptAir 	Okay, so there IS a song about love being in the air, but this is really not what it means. EgyptAir 	okay song love air really means egyptair	okay song love air realli mean egyptair
714749766962450432	2016-03-29 09:43:18	Hijacking coverage reads like a farce. Perfect illustration of pitfalls of up-to-min reporting. https://t.co/T1BfWIsf8U	Hijacking coverage reads like a farce. Perfect illustration of pitfalls of up-to-min reporting. 	Hijacking coverage reads like a farce. Perfect illustration of pitfalls of up-to-min reporting. 	hijacking coverage reads like farce perfect illustration pitfalls up-to-min reporting	hijack coverag read like farc perfect illustr pitfal up-to-min report
714749761484636160	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761417527296	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761262395393	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761249783808	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761220448256	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761211990018	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761178505216	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761128153088	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749761077821441	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749760977108993	2016-03-29 09:43:17	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	EgyptAir plane hijacked to Cyprus, most passengers freed: An Egyptian plane on a flight between Alexandria and Cairo was hijacked and...	egyptair plane hijacked cyprus passengers freed egyptian plane flight alexandria cairo hijacked	egyptair plane hijack cyprus passeng freed egyptian plane flight alexandria cairo hijack
714749759391662080	2016-03-29 09:43:16	"As they say: ""One women's lover is another man's terrorist."" #EgyptAir"	"As they say: ""One women's lover is another man's terrorist."" #EgyptAir"	"As they say: ""One women's lover is another man's terrorist."" EgyptAir"	say one women's lover another man's terrorist egyptair	say one women lover anoth man terrorist egyptair
714749757508493316	2016-03-29 09:43:16	#egyptair Egyptian aviation minister:  hijacker has not made any demands yet	#egyptair Egyptian aviation minister: hijacker has not made any demands yet	egyptair Egyptian aviation minister: hijacker has not made any demands yet	egyptair egyptian aviation minister hijacker made demands yet	egyptair egyptian aviat minist hijack made demand yet
714749757168754690	2016-03-29 09:43:16	BREAKING: Egypt corrects #EgyptAir  hijacker's name -- Seif El Din Mustafa, an Egyptian national. NOT Ibrahim Samaha https://t.co/Zx1iA0PRb4	BREAKING: Egypt corrects #EgyptAir hijacker's name -- Seif El Din Mustafa, an Egyptian national. NOT Ibrahim Samaha 	BREAKING: Egypt corrects EgyptAir hijacker's name -- Seif El Din Mustafa, an Egyptian national. NOT Ibrahim Samaha 	breaking egypt corrects egyptair hijacker's name seif el din mustafa egyptian national ibrahim samaha	break egypt correct egyptair hijack name seif el din mustafa egyptian nation ibrahim samaha
714749754295656448	2016-03-29 09:43:15	Love how the word 'terrorism' being thrown around. How about he's just a criminal breaking laws?  #EgyptAir	Love how the word 'terrorism' being thrown around. How about he's just a criminal breaking laws? #EgyptAir	Love how the word 'terrorism' being thrown around. How about he's just a criminal breaking laws? EgyptAir	love word terrorism thrown around he's criminal breaking laws egyptair	love word terror thrown around he crimin break law egyptair
714749753578364928	2016-03-29 09:43:15	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/R0sO4XufV0 via @CNN	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian...  via @CNN	BREAKING: EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian...  via CNN	breaking egyptair hijacker egyptian-american dual citizen named ibrahim samaha egyptian via cnn	break egyptair hijack egyptian-american dual citizen name ibrahim samaha egyptian via cnn
714749753242828802	2016-03-29 09:43:15	#Egypt aviation min presser over as journalists hassle him for the name of #EgyptAirHijack perpetrator #EgyptAir #Cyprus	#Egypt aviation min presser over as journalists hassle him for the name of #EgyptAirHijack perpetrator #EgyptAir #Cyprus	Egypt aviation min presser over as journalists hassle him for the name of EgyptAirHijack perpetrator EgyptAir Cyprus	egypt aviation min presser journalists hassle name egyptairhijack perpetrator egyptair cyprus	egypt aviat min presser journalist hassl name egyptairhijack perpetr egyptair cyprus
714749752848551936	2016-03-29 09:43:15	#EgyptAir presser: Minister of Civil Aviation requests journos to follow @EgyptAir website for confirmed, official statements	#EgyptAir presser: Minister of Civil Aviation requests journos to follow @EgyptAir website for confirmed, official statements	EgyptAir presser: Minister of Civil Aviation requests journos to follow EgyptAir website for confirmed, official statements	egyptair presser minister civil aviation requests journos follow egyptair website confirmed official statements	egyptair presser minist civil aviat request journo follow egyptair websit confirm offici statement
