created_at	volume	rank	twitter_id	text	text_clean	text_clean_stopped	node_weights	retweet_count	text_weight	show_text	news
2016-05-18 10:20:00	4										
2016-05-18 10:21:00	3										
2016-05-18 10:22:00	2										
2016-05-18 10:23:00	2										
2016-05-18 10:24:00	2										
2016-05-18 10:25:00	0										
2016-05-18 10:26:00	1										
2016-05-18 10:27:00	1										
2016-05-18 10:28:00	0										
2016-05-18 10:29:00	0										
2016-05-18 10:30:00	1										
2016-05-18 10:31:00	0										
2016-05-18 10:32:00	0										
2016-05-18 10:33:00	0										
2016-05-18 10:34:00	6										
2016-05-18 10:35:00	0										
2016-05-18 10:36:00	2										
2016-05-18 10:37:00	2										
2016-05-18 10:38:00	0										
2016-05-18 10:39:00	1										
2016-05-18 10:40:00	2										
2016-05-18 10:41:00	1										
2016-05-18 10:42:00	4										
2016-05-18 10:43:00	0										
2016-05-18 10:44:00	1										
2016-05-18 10:45:00	1										
2016-05-18 10:46:00	1										
2016-05-18 10:47:00	1										
2016-05-18 10:48:00	0										
2016-05-18 10:49:00	1										
2016-05-18 10:50:00	1										
2016-05-18 10:51:00	0										
2016-05-18 10:52:00	0										
2016-05-18 10:53:00	1										
2016-05-18 10:54:00	0										
2016-05-18 10:55:00	0										
2016-05-18 10:56:00	1										
2016-05-18 10:57:00	1										
2016-05-18 10:58:00	0										
2016-05-18 10:59:00	0										
2016-05-18 11:00:00	3										
2016-05-18 11:01:00	1										
2016-05-18 11:02:00	2										
2016-05-18 11:03:00	4										
2016-05-18 11:04:00	0										
2016-05-18 11:05:00	1										
2016-05-18 11:06:00	0										
2016-05-18 11:07:00	6										
2016-05-18 11:08:00	1										
2016-05-18 11:09:00	1										
2016-05-18 11:10:00	0										
2016-05-18 11:11:00	0										
2016-05-18 11:12:00	2										
2016-05-18 11:13:00	1										
2016-05-18 11:14:00	0										
2016-05-18 11:15:00	2										
2016-05-18 11:16:00	0										
2016-05-18 11:17:00	0										
2016-05-18 11:18:00	0										
2016-05-18 11:19:00	2										
2016-05-18 11:20:00	1										
2016-05-18 11:21:00	2										
2016-05-18 11:22:00	2										
2016-05-18 11:23:00	0										
2016-05-18 11:24:00	1										
2016-05-18 11:25:00	3										
2016-05-18 11:26:00	0										
2016-05-18 11:27:00	1										
2016-05-18 11:28:00	1										
2016-05-18 11:29:00	0										
2016-05-18 11:30:00	0										
2016-05-18 11:31:00	1										
2016-05-18 11:32:00	0										
2016-05-18 11:33:00	0										
2016-05-18 11:34:00	4										
2016-05-18 11:35:00	2										
2016-05-18 11:36:00	0										
2016-05-18 11:37:00	1										
2016-05-18 11:38:00	0										
